gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
Cachd1,0.009,0.035,0.024,0.055,0.057,0.061,0.075,0.055,0.018,0.098,0.005,0.118,0.086,0.172
Cacna1a,0,0.04,0.043,0.041,0.016,0.071,0.028,0.024,0.089,0.115,0.025,0.069,0.039,0
Cacna1b,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0.025,0
Cacna1c,0.049,0.014,0,0,0.002,0.02,0.074,0.045,0.01,0.046,0.016,0.558,0,0.681
Cacna1d,0,0.005,0,0,0.001,0.001,0.034,0.023,0,0.035,0.003,0.011,0,0
Cacna1e,0.008,0.008,0,0.021,0.031,0.001,0.009,0.006,0,0.024,0.009,0,0.008,0
Cacna1g,0.01,0.01,0,0.001,0.001,0.089,0.011,0.024,0,0.279,0.007,0.194,0.031,0.27
Cacna1h,0.064,0.002,0,0.003,0.015,0.002,0.003,0.001,0,0.002,0,0.127,0,0.256
Cacna1s,0,0,0,0,0.005,0.001,0,0,0.013,0,0.002,0,0,0
Cacna2d1,0.127,0.32,0.017,0.007,0.017,0.572,0.39,0.327,0.304,0.455,0.382,0.938,0.084,0.304
Cacna2d2,0,0.003,0,0.009,0.01,0.023,0,0.001,0,0.007,0.001,0,0,0
Cacna2d3,0.015,0,0,0.001,0,0.037,0,0.023,0.02,0.023,0.089,0,0,0
Cacna2d4,0.022,0.005,0,0.001,0.015,0,0.001,0.002,0,0.001,0,0,0,0
Cacnb1,0,0.034,0.031,0.009,0.004,0.068,0.045,0.051,0.022,0.079,0.023,0.044,0,0
Cacnb2,0.01,0.016,0,0,0,0.004,0.008,0.013,0,0.017,0.002,0.095,0,0.244
Cacnb3,0.298,0.064,0.067,0.104,0.016,0.072,0.077,0.41,0,0.223,0.517,0.554,0,0.302
Cacnb4,0.015,0.006,0,0.003,0.002,0.016,0.024,0.025,0,0.019,0.004,0.074,0.32,0.084
Cacng1,0,0.001,0.017,0.089,0.043,0.001,0.001,0,0.031,0.008,0.017,0,0,0
Cacng2,0,0.004,0,0.002,0.002,0.003,0.001,0.002,0,0.003,0,0,0,0
Cacng4,0.055,0.016,0.009,0.01,0.049,0.001,0.042,0.011,0,0.006,0.01,0.016,0,0
Cacng7,0,0.055,0,0.002,0.002,0.035,0.077,0.021,0.027,0.117,0.002,0.143,0.197,0
Cactin,0.229,0.143,0.275,0.334,0.174,0.216,0.203,0.158,0.117,0.17,0.072,0.291,0.278,0
Cacul1,0.205,0.164,0.325,0.369,0.477,0.19,0.254,0.189,0.23,0.174,0.115,0.268,0.319,0
Cacybp,1.26,1.402,1.237,1.219,0.901,1.023,0.968,0.932,1.74,1.221,0.558,1.229,1.928,1.687
Cad,0.244,0.071,0.033,0.036,0.058,0.071,0.092,0.107,0.025,0.063,0.135,0.038,0.034,0
Cadm1,1.215,0.233,0.095,0.034,0.023,0.078,0.154,2.509,0.114,0.751,3.765,0.034,0.855,0.147
Cadm2,0,0.005,0,0.003,0.001,0.002,0.002,0.002,0.018,0.002,0,0,0.187,0
Cadm3,0.164,0.003,0.414,0.191,0.73,0.367,0.014,0.005,0.091,0.005,0.002,0.11,0.077,0
Cadm4,0.043,0.003,0,0.005,0.009,0.012,0.002,0.001,0.088,0.005,0.001,0,3.29,0
Cadps2,0.109,0.002,0.024,0.014,0.024,0.003,0.023,0.117,0.009,0.007,0.087,0,0.013,0
Cage1,0,0.015,0.007,0.002,0.006,0.009,0.006,0.008,0.007,0.012,0.005,0.006,0.01,0
Calb1,0,0.002,0,0.003,0.001,0.002,0.003,0.006,0.008,0,0.009,0,0,0
Calca,0,0.002,0,0.042,0,0.003,0.002,0,0.15,0.004,0.004,0,0,0
Calcoco1,0.093,0.063,0.117,0.134,0.193,0.116,0.171,0.141,0.215,0.117,0.078,0.265,0.114,0.168
Calcr,0,0,0,0,0,0.001,0,0,0.477,0,0,0,0,0
Calcrl,0.331,0.009,1.358,1.246,1.395,0.091,0.079,0.012,0.022,0.014,0.004,0.124,0,0.361
Cald1,4.234,0.727,2.066,5.404,1.66,1.014,6.031,6.518,2.252,3.667,1.174,14.825,0.377,16.953
Calhm2,0.112,0.15,0.215,0.214,0.082,0.42,0.205,0.219,0.065,0.312,0.072,0.477,0.014,0.123
Calm1,10.105,6.249,22.12,21.535,11.979,10.633,6.277,5.728,6.686,7.314,5.61,11.38,15.722,16.191
Calm2,21.044,7.386,5.142,5.57,5.448,10.417,7.037,14.005,13.716,10.773,11.595,10.318,11.161,40.369
Calm3,3.468,2.141,1.485,2.164,1.807,1.542,1.682,1.677,1.101,1.939,0.82,2.711,3.053,2.959
